original	renamed	species	order	gc	identity	armlength	spacerlength	spacer_renamed	spacergc
mPonAbe1.chrX.Q21A	mPonAbe1.palindromeSeq.chrX.part-57.fa	mPonAbe1	57	0.51	99.3	21731	169126	mPonAbe1.spacerSeq.chrX.part-29.fa	0.42
mPonAbe1.chrX.Q22A	mPonAbe1.palindromeSeq.chrX.part-59.fa	mPonAbe1	59	0.44	99.4	17333	129692	mPonAbe1.spacerSeq.chrX.part-30.fa	0.41
mPonAbe1.chrX.Q23A	mPonAbe1.palindromeSeq.chrX.part-61.fa	mPonAbe1	61	0.59	99.7	11698	39178	mPonAbe1.spacerSeq.chrX.part-31.fa	0.61
mPonAbe1.chrX.Q24A	mPonAbe1.palindromeSeq.chrX.part-63.fa	mPonAbe1	63	0.42	100	47586	66676	mPonAbe1.spacerSeq.chrX.part-32.fa	0.38
mPonPyg2.chrX.Q1.1A	mPonPyg2.palindromeSeq.chrX.part-1.fa	mPonPyg2	1	0.46	98.8	17203	3674	mPonPyg2.spacerSeq.chrX.part-1.fa	0.44
mPonPyg2.chrX.Q1.2A	mPonPyg2.palindromeSeq.chrX.part-3.fa	mPonPyg2	3	0.44	99.8	123190	1704	mPonPyg2.spacerSeq.chrX.part-2.fa	0.45
mPonPyg2.chrX.Q2A	mPonPyg2.palindromeSeq.chrX.part-5.fa	mPonPyg2	5	0.42	97.1	16533	13921	mPonPyg2.spacerSeq.chrX.part-3.fa	0.45
mPonPyg2.chrX.Q3A	mPonPyg2.palindromeSeq.chrX.part-7.fa	mPonPyg2	7	0.45	99.9	31206	7400	mPonPyg2.spacerSeq.chrX.part-4.fa	0.43
mPonPyg2.chrX.Q4A	mPonPyg2.palindromeSeq.chrX.part-9.fa	mPonPyg2	9	0.47	99.7	40167	68082	mPonPyg2.spacerSeq.chrX.part-5.fa	0.39
mPonPyg2.chrX.Q5A	mPonPyg2.palindromeSeq.chrX.part-11.fa	mPonPyg2	11	0.44	99.6	120125	52945	mPonPyg2.spacerSeq.chrX.part-6.fa	0.42
mPonPyg2.chrX.Q6A	mPonPyg2.palindromeSeq.chrX.part-13.fa	mPonPyg2	13	0.49	98.5	23400	14862	mPonPyg2.spacerSeq.chrX.part-7.fa	0.45
mPonPyg2.chrX.Q7A	mPonPyg2.palindromeSeq.chrX.part-15.fa	mPonPyg2	15	0.44	99.9	28742	10582	mPonPyg2.spacerSeq.chrX.part-8.fa	0.44
mPonPyg2.chrX.Q8A	mPonPyg2.palindromeSeq.chrX.part-17.fa	mPonPyg2	17	0.44	98.1	32892	4011	mPonPyg2.spacerSeq.chrX.part-9.fa	0.63
mPonPyg2.chrX.Q9A	mPonPyg2.palindromeSeq.chrX.part-19.fa	mPonPyg2	19	0.43	99.7	115607	913	mPonPyg2.spacerSeq.chrX.part-10.fa	0.52
mPonPyg2.chrX.Q10A	mPonPyg2.palindromeSeq.chrX.part-21.fa	mPonPyg2	21	0.41	99.1	39715	74457	mPonPyg2.spacerSeq.chrX.part-11.fa	0.38
mPonPyg2.chrX.Q11.1A	mPonPyg2.palindromeSeq.chrX.part-23.fa	mPonPyg2	23	0.41	99.8	52923	104102	mPonPyg2.spacerSeq.chrX.part-12.fa	0.43
mPonPyg2.chrX.Q11.2A	mPonPyg2.palindromeSeq.chrX.part-25.fa	mPonPyg2	25	0.43	99.9	47101	10768	mPonPyg2.spacerSeq.chrX.part-13.fa	0.4
mPonPyg2.chrX.Q12A	mPonPyg2.palindromeSeq.chrX.part-27.fa	mPonPyg2	27	0.44	98.6	29213	25332	mPonPyg2.spacerSeq.chrX.part-14.fa	0.41
mPonPyg2.chrX.Q13A	mPonPyg2.palindromeSeq.chrX.part-29.fa	mPonPyg2	29	0.4	99.9	12973	4619	mPonPyg2.spacerSeq.chrX.part-15.fa	0.39
mPonPyg2.chrX.Q14A	mPonPyg2.palindromeSeq.chrX.part-31.fa	mPonPyg2	31	0.43	99.3	49342	55489	mPonPyg2.spacerSeq.chrX.part-16.fa	0.4
mPonPyg2.chrX.Q15A	mPonPyg2.palindromeSeq.chrX.part-33.fa	mPonPyg2	33	0.41	98.7	8879	432194	mPonPyg2.spacerSeq.chrX.part-17.fa	0.38
mPonPyg2.chrX.Q16A	mPonPyg2.palindromeSeq.chrX.part-35.fa	mPonPyg2	35	0.39	98.9	20456	45534	mPonPyg2.spacerSeq.chrX.part-18.fa	0.36
mPonPyg2.chrX.Q17.1A	mPonPyg2.palindromeSeq.chrX.part-37.fa	mPonPyg2	37	0.48	98.8	47023	179233	mPonPyg2.spacerSeq.chrX.part-19.fa	0.45
mPonPyg2.chrX.Q17.2A	mPonPyg2.palindromeSeq.chrX.part-39.fa	mPonPyg2	39	0.48	99.6	55659	43525	mPonPyg2.spacerSeq.chrX.part-20.fa	0.43
mPonPyg2.chrX.Q18A	mPonPyg2.palindromeSeq.chrX.part-41.fa	mPonPyg2	41	0.46	100	53504	7402	mPonPyg2.spacerSeq.chrX.part-21.fa	0.5
mPonPyg2.chrX.Q19A	mPonPyg2.palindromeSeq.chrX.part-43.fa	mPonPyg2	43	0.62	100	8361	1395	mPonPyg2.spacerSeq.chrX.part-22.fa	0.63
mPonPyg2.chrX.Q20A	mPonPyg2.palindromeSeq.chrX.part-45.fa	mPonPyg2	45	0.47	99.2	53111	105584	mPonPyg2.spacerSeq.chrX.part-23.fa	0.41
mPonPyg2.chrX.Q21A	mPonPyg2.palindromeSeq.chrX.part-47.fa	mPonPyg2	47	0.59	99.6	11702	39151	mPonPyg2.spacerSeq.chrX.part-24.fa	0.61
mPonPyg2.chrX.Q22A	mPonPyg2.palindromeSeq.chrX.part-49.fa	mPonPyg2	49	0.42	100	47591	66668	mPonPyg2.spacerSeq.chrX.part-25.fa	0.38
mSymSyn1.chrX.Q1A	mSymSyn1.palindromeSeq.chrX.part-1.fa	mSymSyn1	1	0.36	99.4	41912	191257	mSymSyn1.spacerSeq.chrX.part-1.fa	0.36
mSymSyn1.chrX.Q2A	mSymSyn1.palindromeSeq.chrX.part-3.fa	mSymSyn1	3	0.35	97.8	21746	101150	mSymSyn1.spacerSeq.chrX.part-2.fa	0.36
mSymSyn1.chrX.Q3.1A	mSymSyn1.palindromeSeq.chrX.part-5.fa	mSymSyn1	5	0.36	99.1	33333	179540	mSymSyn1.spacerSeq.chrX.part-3.fa	0.36
mSymSyn1.chrX.Q3.2A	mSymSyn1.palindromeSeq.chrX.part-7.fa	mSymSyn1	7	0.35	97.7	53381	56313	mSymSyn1.spacerSeq.chrX.part-4.fa	0.37
mSymSyn1.chrX.Q3.3A	mSymSyn1.palindromeSeq.chrX.part-9.fa	mSymSyn1	9	0.36	98	60955	4790	mSymSyn1.spacerSeq.chrX.part-5.fa	0.37
mSymSyn1.chrX.Q4A	mSymSyn1.palindromeSeq.chrX.part-11.fa	mSymSyn1	11	0.36	98	23365	250898	mSymSyn1.spacerSeq.chrX.part-6.fa	0.36
mSymSyn1.chrX.Q5A	mSymSyn1.palindromeSeq.chrX.part-13.fa	mSymSyn1	13	0.35	98.8	68568	56177	mSymSyn1.spacerSeq.chrX.part-7.fa	0.37
mSymSyn1.chrX.Q6A	mSymSyn1.palindromeSeq.chrX.part-15.fa	mSymSyn1	15	0.43	96.5	21442	42419	mSymSyn1.spacerSeq.chrX.part-8.fa	0.46
mSymSyn1.chrX.Q7A	mSymSyn1.palindromeSeq.chrX.part-17.fa	mSymSyn1	17	0.44	99.8	27413	6610	mSymSyn1.spacerSeq.chrX.part-9.fa	0.45
mSymSyn1.chrX.Q8A	mSymSyn1.palindromeSeq.chrX.part-19.fa	mSymSyn1	19	0.46	99.9	25607	398	mSymSyn1.spacerSeq.chrX.part-10.fa	0.42
mSymSyn1.chrX.Q9.1A	mSymSyn1.palindromeSeq.chrX.part-21.fa	mSymSyn1	21	0.43	98.2	18177	129931	mSymSyn1.spacerSeq.chrX.part-11.fa	0.43
mSymSyn1.chrX.Q9.2A	mSymSyn1.palindromeSeq.chrX.part-23.fa	mSymSyn1	23	0.52	99.1	17026	95124	mSymSyn1.spacerSeq.chrX.part-12.fa	0.4
mSymSyn1.chrX.Q10A	mSymSyn1.palindromeSeq.chrX.part-25.fa	mSymSyn1	25	0.43	99.9	62436	14166	mSymSyn1.spacerSeq.chrX.part-13.fa	0.43
mSymSyn1.chrX.Q11A	mSymSyn1.palindromeSeq.chrX.part-27.fa	mSymSyn1	27	0.5	98.5	24799	13669	mSymSyn1.spacerSeq.chrX.part-14.fa	0.44
mSymSyn1.chrX.Q12A	mSymSyn1.palindromeSeq.chrX.part-29.fa	mSymSyn1	29	0.44	100	28959	10605	mSymSyn1.spacerSeq.chrX.part-15.fa	0.44
mSymSyn1.chrX.Q13A	mSymSyn1.palindromeSeq.chrX.part-31.fa	mSymSyn1	31	0.41	99	9379	40347	mSymSyn1.spacerSeq.chrX.part-16.fa	0.41
mSymSyn1.chrX.Q14A	mSymSyn1.palindromeSeq.chrX.part-33.fa	mSymSyn1	33	0.42	99.6	13795	33887	mSymSyn1.spacerSeq.chrX.part-17.fa	0.49
mSymSyn1.chrX.Q15.1A	mSymSyn1.palindromeSeq.chrX.part-35.fa	mSymSyn1	35	0.43	97.2	11367	147686	mSymSyn1.spacerSeq.chrX.part-18.fa	0.45
mSymSyn1.chrX.Q15.2A	mSymSyn1.palindromeSeq.chrX.part-37.fa	mSymSyn1	37	0.46	99.2	38988	70181	mSymSyn1.spacerSeq.chrX.part-19.fa	0.44
mSymSyn1.chrX.Q15.3A	mSymSyn1.palindromeSeq.chrX.part-39.fa	mSymSyn1	39	0.44	99.3	31977	5907	mSymSyn1.spacerSeq.chrX.part-20.fa	0.42
mSymSyn1.chrX.Q16A	mSymSyn1.palindromeSeq.chrX.part-41.fa	mSymSyn1	41	0.41	99.5	28849	58686	mSymSyn1.spacerSeq.chrX.part-21.fa	0.39
mSymSyn1.chrX.Q17A	mSymSyn1.palindromeSeq.chrX.part-43.fa	mSymSyn1	43	0.39	99.3	20615	20917	mSymSyn1.spacerSeq.chrX.part-22.fa	0.38
mSymSyn1.chrX.Q18A	mSymSyn1.palindromeSeq.chrX.part-45.fa	mSymSyn1	45	0.43	99.8	94919	4685	mSymSyn1.spacerSeq.chrX.part-23.fa	0.38
mSymSyn1.chrX.Q19A	mSymSyn1.palindromeSeq.chrX.part-47.fa	mSymSyn1	47	0.41	98.3	11332	13247	mSymSyn1.spacerSeq.chrX.part-24.fa	0.36
mSymSyn1.chrX.Q20A	mSymSyn1.palindromeSeq.chrX.part-49.fa	mSymSyn1	49	0.44	98.3	33549	50055	mSymSyn1.spacerSeq.chrX.part-25.fa	0.4
mSymSyn1.chrX.Q21.1A	mSymSyn1.palindromeSeq.chrX.part-51.fa	mSymSyn1	51	0.43	99.3	13498	173778	mSymSyn1.spacerSeq.chrX.part-26.fa	0.44
mSymSyn1.chrX.Q21.2A	mSymSyn1.palindromeSeq.chrX.part-53.fa	mSymSyn1	53	0.45	99.2	39848	38508	mSymSyn1.spacerSeq.chrX.part-27.fa	0.44
mSymSyn1.chrX.Q21.3A	mSymSyn1.palindromeSeq.chrX.part-55.fa	mSymSyn1	55	0.46	98.8	19958	43220	mSymSyn1.spacerSeq.chrX.part-28.fa	0.44
mSymSyn1.chrX.Q21.4A	mSymSyn1.palindromeSeq.chrX.part-57.fa	mSymSyn1	57	0.46	98.5	15246	47932	mSymSyn1.spacerSeq.chrX.part-29.fa	0.44
mSymSyn1.chrX.Q21.5A	mSymSyn1.palindromeSeq.chrX.part-59.fa	mSymSyn1	59	0.47	98	10535	52643	mSymSyn1.spacerSeq.chrX.part-30.fa	0.44
mSymSyn1.chrX.Q21.6A	mSymSyn1.palindromeSeq.chrX.part-61.fa	mSymSyn1	61	0.45	99.4	34272	14569	mSymSyn1.spacerSeq.chrX.part-31.fa	0.46
mSymSyn1.chrX.Q21.7A	mSymSyn1.palindromeSeq.chrX.part-63.fa	mSymSyn1	63	0.46	98.8	19955	38508	mSymSyn1.spacerSeq.chrX.part-32.fa	0.44
mSymSyn1.chrX.Q21.8A	mSymSyn1.palindromeSeq.chrX.part-65.fa	mSymSyn1	65	0.46	98.6	15244	43212	mSymSyn1.spacerSeq.chrX.part-33.fa	0.44
mSymSyn1.chrX.Q21.9A	mSymSyn1.palindromeSeq.chrX.part-67.fa	mSymSyn1	67	0.47	98.1	10532	47916	mSymSyn1.spacerSeq.chrX.part-34.fa	0.44
mSymSyn1.chrX.Q22.1A	mSymSyn1.palindromeSeq.chrX.part-69.fa	mSymSyn1	69	0.49	99.2	119229	167555	mSymSyn1.spacerSeq.chrX.part-35.fa	0.46
mSymSyn1.chrX.Q22.2A	mSymSyn1.palindromeSeq.chrX.part-71.fa	mSymSyn1	71	0.53	99.6	50981	180281	mSymSyn1.spacerSeq.chrX.part-36.fa	0.47
mSymSyn1.chrX.Q22.3A	mSymSyn1.palindromeSeq.chrX.part-73.fa	mSymSyn1	73	0.53	99.6	38234	193028	mSymSyn1.spacerSeq.chrX.part-37.fa	0.47
mSymSyn1.chrX.Q22.4A	mSymSyn1.palindromeSeq.chrX.part-75.fa	mSymSyn1	75	0.53	99.6	25489	205773	mSymSyn1.spacerSeq.chrX.part-38.fa	0.47
mSymSyn1.chrX.Q22.5A	mSymSyn1.palindromeSeq.chrX.part-77.fa	mSymSyn1	77	0.53	99.6	12745	218517	mSymSyn1.spacerSeq.chrX.part-39.fa	0.48
mSymSyn1.chrX.Q22.6A	mSymSyn1.palindromeSeq.chrX.part-79.fa	mSymSyn1	79	0.53	99.6	63702	154818	mSymSyn1.spacerSeq.chrX.part-40.fa	0.46
mSymSyn1.chrX.Q22.7A	mSymSyn1.palindromeSeq.chrX.part-81.fa	mSymSyn1	81	0.53	99.6	63690	142086	mSymSyn1.spacerSeq.chrX.part-41.fa	0.45
mSymSyn1.chrX.Q22.8A	mSymSyn1.palindromeSeq.chrX.part-83.fa	mSymSyn1	83	0.53	99.6	70016	116691	mSymSyn1.spacerSeq.chrX.part-42.fa	0.43
mSymSyn1.chrX.Q22.9A	mSymSyn1.palindromeSeq.chrX.part-85.fa	mSymSyn1	85	0.53	99.6	50945	142079	mSymSyn1.spacerSeq.chrX.part-43.fa	0.45
mSymSyn1.chrX.Q22.10A	mSymSyn1.palindromeSeq.chrX.part-87.fa	mSymSyn1	87	0.53	99.7	38219	154817	mSymSyn1.spacerSeq.chrX.part-44.fa	0.46
mSymSyn1.chrX.Q22.11A	mSymSyn1.palindromeSeq.chrX.part-89.fa	mSymSyn1	89	0.53	99.7	25482	167563	mSymSyn1.spacerSeq.chrX.part-45.fa	0.46
mSymSyn1.chrX.Q22.12A	mSymSyn1.palindromeSeq.chrX.part-91.fa	mSymSyn1	91	0.53	99.6	12750	180304	mSymSyn1.spacerSeq.chrX.part-46.fa	0.47
mSymSyn1.chrX.Q23A	mSymSyn1.palindromeSeq.chrX.part-93.fa	mSymSyn1	93	0.45	97.9	14225	48686	mSymSyn1.spacerSeq.chrX.part-47.fa	0.44
mSymSyn1.chrX.Q24A	mSymSyn1.palindromeSeq.chrX.part-95.fa	mSymSyn1	95	0.48	99.7	43444	54863	mSymSyn1.spacerSeq.chrX.part-48.fa	0.42
mSymSyn1.chrX.Q25A	mSymSyn1.palindromeSeq.chrX.part-97.fa	mSymSyn1	97	0.62	98.6	9052	39253	mSymSyn1.spacerSeq.chrX.part-49.fa	0.61
mSymSyn1.chrX.Q26A	mSymSyn1.palindromeSeq.chrX.part-99.fa	mSymSyn1	99	0.43	99.8	46778	56602	mSymSyn1.spacerSeq.chrX.part-50.fa	0.38
